Name	total_sequences
D14	32782245
D15	2996668
B14	21429477
B15	153232
D10	23288792
D11	32697648
B10	17834103
B11	20046398
K15	3612407
K1	22410586
K2	28918492
K3	26242205
K4	24820918
K5	23742724
K6	33328222
K7	31981703
K8	32681044
K9	30490811
H13	37422537
H12	41270847
H14	30102331
H15	9175826
G11	33675291
G10	27114988
G13	37572727
G12	26920188
G14	37776908
G15	6506030
H11	32967437
H10	38520781
F13	37076085
F12	44665727
F14	41224681
F15	9963473
E11	32538512
E10	31612358
E13	35381289
E12	23576124
E14	36857140
E15	7510742
F11	41639279
F10	42838391
C14	25545632
C15	1108478
A15	744181
A1	28815565
A2	23449401
A3	25701733
A4	26386676
A5	28801277
A6	22805861
A7	26574132
A8	23679282
A9	27007147
A14	30080913
C10	23930703
C11	28174193
A10	26031851
A11	31630345
J15	3513498
J1	29899883
J2	29813636
J3	29541365
J4	28197254
J5	29972855
J6	28390700
J7	25873250
J8	29874387
J9	28997747
F1	41515586
F2	40923762
F3	40201917
F4	44782856
F5	44051866
F6	35851883
F7	45599524
F8	33288727
F9	44367709
E1	43566401
E2	36949139
E3	40777729
E4	48628324
E5	54485700
E6	48681069
E7	38688319
E8	40081960
E9	44155910
D1	48578886
D2	46014367
D3	47068721
D4	51803952
D5	48988697
D6	56765644
D7	43356006
D8	47961477
D9	44519116
C1	42540595
C2	41024730
C3	54437005
C4	50561552
C5	46193837
C6	48116289
C7	45197859
C8	46928005
C9	47356498
B1	40746666
B2	30848713
B3	24858281
B4	41951173
B5	25906094
B6	21568788
B7	32590769
B8	30024928
B9	25137458
H1	25280406
H2	28813765
H3	22349524
H4	24759914
H5	30414599
H6	27475774
H7	34514625
H8	24061929
H9	22018934
G1	36710263
G2	43200626
G3	37032264
G4	39052795
G5	43574191
G6	36750415
G7	42425871
G8	39688818
G9	41214475
K16	6459403
A16	2286656
J16	7184240
F16	196159
E16	3043355
D16	1329884
C16	3348029
B16	730013
H16	507972
G16	1923242
